Name,Department Profile,Specialties,Education,Location,About,Profile Link
Ehsan Balagamwala,Radiation Oncology,"Undergraduate - Cornell University
Ithaca,
NY USA
2008",Residency - Cleveland Clinic | Medical Education - Cleveland Clinic Lerner College of Medicine ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/23667-ehsan-balagamwala
Sophia Balderman,Hematology and Medical Oncology,"Medical Education - SUNY Upstate Medical University
Syracuse,
NY USA
2008",Fellowship - Strong Memorial Hospital of The University of Rochester (New York) | Residency - Strong Memorial Hospital of The University of Rochester (New York) ,"Cleveland, OH","Ever since I had my first opportunity to be involved in the care of patients with blood cancers, beginning with my first patient with acute myeloid leukemia (AML), as a medical student, I have been drawn to the treatment of patients with these types of diseases. My residency in internal medicine solidified my interest in hematologic malignancies. My research focus during my fellowship in hematology and beyond has been on the pathophysiology of myelodysplastic syndrome (MDS). One aspect of the care of patients with hematologic malignancies that is the most rewarding is that, since I generally see my patients frequently, I am able to give them education about their disease and insight into its management, so that we can become partners in their individual medical journeys. The collaborative spirit among fellow providers here at the Cleveland Clinic enables me to provide the best possible care for my patients.",https://my.clevelandclinic.org/staff/28964-sophia-balderman
Robert Bales,Family Medicine,"Undergraduate - Syracuse University
Syracuse,
NY USA
1991",Medical Education - University of Illinois at Chicago Hospitals | Residency - Bryn Mawr Hospital | Internship - State University of New York Upstate Medical Center | Medical Education - Thomas Jefferson University Medical College | Graduate School - Boston University / Boston University Medical Center ,"Heights, OH",,https://my.clevelandclinic.org/staff/15109-robert-bales
Steven Ball,Otolaryngology,"adult and pediatric general otolaryngology, cholesteatoma, congenital and malignant head and neck disease, gland/thyroid gland tumors/chemodectomas of the head and neck, head and neck cancer, head and neck endocrine (thyroid and parathyroid) surgery, head and neck paraganglioma, head and neck surgery, head and neck tumors, malignant/benign tumors of the head and neck, nasal airway surgery, nasal-sinus disease and surgery, paranasal sinus disease, pediatric and adult thyroid/parathyroid disorders, pediatric ear disease, sinonasal disease, surgical management of chronic sinus disease, thyroid and salivary gland masses and pediatric neck masses, tracheotomy",Residency - University of North Carolina Hospitals | Medical Education - The Ohio State University College of Medicine and Public Health | Undergraduate - Duke University ,"Strongsville, OH","Steven Ball, MD, is board-certified in otolaryngology-head and neck surgery. His interests include general adult and pediatric otolaryngology, endoscopic sinus surgery, thyroid and salivary gland surgery, and surgical treatment of adult and pediatric neck masses.",https://my.clevelandclinic.org/staff/4195-steven-ball
Robert Tracy Ballock,Orthopaedic Surgery,"Pediatric orthopaedics, pediatric fractures and sports injuries, skeletal development, hip dysplasia, clubfoot, deformity correction and leg lengthening",Fellowship - Texas Scottish Rite Hospital for Children | Fellowship - Johns Hopkins Hospital | Fellowship - National Institutes of Health | Residency - University of California San Diego Medical Center | Internship - University of California San Diego Medical Center | Medical Education - Harvard Medical School | Undergraduate - Harvard University ,"Beachwood, OH","Dr. Ballock grew up in Western Pennsylvania and earned a honors degree in Biology from Harvard College, where he also played varsity football. Following graduation from Harvard Medical School, Dr. Ballock made a conscious decision to become an academic orthopaedic surgeon in order to satisfy his desire to understand mechanisms of musculoskeletal disease at the most fundamental level.  After internship and residency training in orthopaedic surgery at the University of California, San Diego, Dr. Ballock made an unusual career move for an orthopaedic surgeon by electing to spend two years in the intramural program at the National Institutes of Health, and a third year at Johns Hopkins, learning fundamental techniques of cellular and molecular biology.Following these three years of basic science research training, Dr. Ballock completed a clinical fellowship in pediatric orthopaedic surgery at the Texas Scottish Rite Hospital for Children in Dallas, and subsequently accepted a faculty position at the Rainbow Babies and Children’s Hospital and the Department of Orthopaedic Surgery at Case Western Reserve University and University Hospitals of Cleveland in 1994.In 2002, Dr. Ballock left Rainbow for a ten-year term as Head of the Section of Pediatric Orthopaedic Surgery and the Director of the Center for Pediatric Orthopaedic Surgery in the Orthopaedic and Rheumatologic Institute at the Cleveland Clinic. He currently holds the title of Professor of Surgery at the Cleveland Clinic Lerner College of Medicine of Case Western Reserve University, where he directs a basic science laboratory focused on growth plate biology that has successfully attracted extramural funding for the past two decades.Dr. Ballock has been honored with two of the highest international awards presented to orthopaedic surgeons, the Elizabeth Winston Lanier Award from the American Academy of Orthopaedic Surgeons, and the Arthur B. Huene Award from the Pediatric Orthopaedic Society of North America.With over twenty years experience in taking care of children with orthopaedic problems, Dr. Ballock's clinical interests are centered on treatment of pediatric fractures and sports injuries, birth defects, hip dysplasia, clubfoot, deformity correction and leg lengthening. He was fortunate to travel to Iowa City early in his career to learn the Ponseti method for clubfoot treatment from the late Dr. Ignacio Ponseti himself. Dr. Ballock's colleagues have consistently recognized the quality of his clinical work by naming him as one of Cleveland Magazine’s Best Doctors every year for the past fifteen years.",https://my.clevelandclinic.org/staff/4494-robert-tracy-ballock
Orkun Baloglu,Pediatric Critical Care Medicine,"Medical Education - Hacettepe University School of Medicine
Ankara,

2008",Fellowship - Children's Hospital of Wisconsin | Residency - Penn State Hershey Medical Center ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/19832-orkun-baloglu
Sophia Bampoh,Vascular Medicine,"Appointed
2021",,"Weston, FL",,https://my.clevelandclinic.org/staff/29179-sophia-bampoh
Anne Banas,Center for Pediatric Pulmonary Medicine,complex medical pediatric patients PCAVS/pediatric aerodisgestive clinic Pediatric sleep medicine,Graduate School - Case Western Reserve University School of Medicine | Undergraduate - Case Western Reserve University School of Medicine | Undergraduate - John Carroll University ,"Cleveland, OH",,https://my.clevelandclinic.org/staff/9145-anne-banas
Gerard Banez,Center for Pediatric Behavioral Health,"Pediatric pain rehabilitation, chronic pain in children and adolescents, pain-associated disability syndrome, clinical behavioral pediatrics",Fellowship - Judge Baker's Children Center | Medical Education - University of Vermont | Internship - Judge Baker's Children Center | Undergraduate - University of Rochester ,"Strongsville, OH","Dr. Gerard Banez is a pediatric psychologist who serves as the Program Director for the Cleveland Clinic Pediatric Pain Rehabilitation Program. He earned his doctoral degree in clinical psychology at the University of Vermont in Burlington and completed a predoctoral internship and postdoctoral fellowship in pediatric psychology at Children's Hospital, Harvard Medical School, in Boston, Massachusetts. Dr. Banez is a Fellow of Division 54 (Society of Pediatric Psychology [SPP]) of the American Psychological Association and currently serves as Co-Chair of the SPP Pain Special Interest Group. He served as a Member-at-Large on the SPP Executive Council and was appointed to the American Psychological Association Presidential Task Force on Evidence-Based Practice for Children and Adolescents. Dr. Banez has given numerous presentations and written multiple papers on pediatric chronic pain and related functional impairment.",https://my.clevelandclinic.org/staff/2996-gerard-banez
Andrew Bang,Center for Integrative Medicine,Chiropractor,Medical Education - Parker University | Undergraduate - Parker University ,"Hills, OH","Andrew Bang, DC has advanced training in muscle work and extremity manipulation and offers nutritional therapy. He treats patients with: Back and neck pain Pelvic pain Shoulder, elbow and wrist pain Hip, knee and ankle painChildren 12 and up with neck pain, back pain, torticollis, and/or headaches. Children under age 12 require a physician referral.Finding the root of the problemDr. Bang sees every patient as unique. “As a chiropractor, I am passionate about treating the patient, and not just relieving the symptoms,” he says. “I often find that the pain is not where the problem is coming from.” For example, someone who comes in with sciatica may be under tremendous stress at work or have a chemical imbalance arising from a nutritional deficiency, he says.Evaluating overall healthTo find the right solution for every patient, Dr. Bang carefully evaluates all aspects of their health. ""My ultimate goal is to help all of my patients do what they want to do, when they want to do it. I accomplish that by finding the root of the problem, using an effective treatment plan in the office and providing complementary home therapy."" Dr. Bang graduated from Parker College of Chiropractic in Dallas. During three months spent in Bogota, Colombia, treating professional and Olympic athletes, Dr. Bang was recognized as the top intern. He was also a team chiropractor for the Texas Wranglers semi-pro basketball team.You can find Dr. Bang as a contributor in Cleveland Clinic Health Essentials.",https://my.clevelandclinic.org/staff/17717-andrew-bang
